player_name,team_code,position,is_pitcher,is_keeper
J. Soto,DKG,OF,FALSE,FALSE
R. Acuna,DMK,OF,FALSE,FALSE
V. Robles,DDG,OF,FALSE,FALSE
T. Grisham,SKD,OF,FALSE,FALSE
C. Yelich,RGS,OF,FALSE,FALSE
S. Marte,DEV,OF,FALSE,FALSE
M. Betts,LDY,OF,FALSE,FALSE
B. Harper,SHO,OF,FALSE,FALSE
J. Heyward,DKG,OF,FALSE,FALSE
E. Hernandez,DMK,OF,FALSE,FALSE
D. Dahl,DDG,OF,FALSE,FALSE
B. Nimmo,SKD,OF,FALSE,FALSE
C. Bellinger,RGS,OF,FALSE,FALSE
M. Ozuna,DEV,OF,FALSE,FALSE
J. Pederson,LDY,OF,FALSE,FALSE
S. Kingery,SHO,OF,FALSE,FALSE
N. Senzel,DKG,OF,FALSE,FALSE
S. Hillaird,DMK,OF,FALSE,FALSE
K. Schwarber,DDG,OF,FALSE,FALSE
C. Blackmon,SKD,OF,FALSE,FALSE
A. Eaton,RGS,OF,FALSE,FALSE
T. Pham,DEV,OF,FALSE,FALSE
A. Riley,LDY,OF,FALSE,FALSE
B. Gamel,SHO,OF,FALSE,FALSE
I. Happ,DKG,OF,FALSE,FALSE
T. Edman,DMK,OF,FALSE,FALSE
G. Polanco,DDG,OF,FALSE,FALSE
B. Reynolds,SKD,OF,FALSE,FALSE
A. McCutchen,RGS,OF,FALSE,FALSE
N. Castellanos,DEV,OF,FALSE,FALSE
T. O'Neil,LDY,OF,FALSE,FALSE
M. Yaztrzemski,SHO,OF,FALSE,FALSE
W. Myers,DKG,1B,FALSE,FALSE
K. Calhoun,DMK,1B,FALSE,FALSE
JD Davis,DDG,1B,FALSE,FALSE
AJ Pollock,SKD,1B,FALSE,FALSE
C. Dickerson,RGS,1B,FALSE,FALSE
M. Conforto,DEV,1B,FALSE,FALSE
Y. Cespedes,LDY,1B,FALSE,FALSE
A. Aquino,SHO,1B,FALSE,FALSE
P. Goldschmidt,DKG,2B,FALSE,FALSE
C. Walker,DMK,2B,FALSE,FALSE
D. Murphy,DDG,2B,FALSE,FALSE
E. Hosmer,SKD,2B,FALSE,FALSE
F. Freeman,RGS,2B,FALSE,FALSE
R. Hoskins,DEV,2B,FALSE,FALSE
E. Thames,LDY,2B,FALSE,FALSE
P. Alonso,SHO,2B,FALSE,FALSE
M. Muncy,DKG,3B,FALSE,FALSE
J. Baez,DMK,3B,FALSE,FALSE
O. Albies,DDG,3B,FALSE,FALSE
K. Marte,SKD,3B,FALSE,FALSE
R. McMahon,RGS,3B,FALSE,FALSE
K. Hiura,DEV,3B,FALSE,FALSE
J. Kipnis,LDY,3B,FALSE,FALSE
S. Castro,SHO,3B,FALSE,FALSE
J. Turner,DKG,SS,FALSE,FALSE
M. Moustakas,DMK,SS,FALSE,FALSE
N. Arenado,DDG,SS,FALSE,FALSE
K. Bryant,SKD,SS,FALSE,FALSE
C. Moran,RGS,SS,FALSE,FALSE
E. Escobar,DEV,SS,FALSE,FALSE
E. Sogard,LDY,SS,FALSE,FALSE
E. Suarez,SHO,SS,FALSE,FALSE
F. Tatis Jr.,DKG,C,FALSE,FALSE
J. Villar,DMK,C,FALSE,FALSE
J. Segura,DDG,C,FALSE,FALSE
T. Story,SKD,C,FALSE,FALSE
D. Swanson,RGS,C,FALSE,FALSE
P. Dejong,DEV,C,FALSE,FALSE
D. Gregorius,LDY,C,FALSE,FALSE
M. Machado,SHO,C,FALSE,FALSE
W. Contreras,DKG,C,FALSE,FALSE
JT. Realmuto,DMK,C,FALSE,FALSE
F. Mejia,DDG,C,FALSE,FALSE
C. Kelly,SKD,C,FALSE,FALSE
C. Casali,RGS,C,FALSE,FALSE
K. Suzuki,DEV,C,FALSE,FALSE
W. Smith,LDY,C,FALSE,FALSE
O. Narvaez,SHO,C,FALSE,FALSE
W. Ramos,DKG,CM,FALSE,FALSE
T. Barnhart,DMK,CM,FALSE,FALSE
V. Caratini,DDG,CM,FALSE,FALSE
Y. Molina,SKD,CM,FALSE,FALSE
T. Heineman,RGS,CM,FALSE,FALSE
T. Wolters,DEV,CM,FALSE,FALSE
J. Stallings,LDY,CM,FALSE,FALSE
T. d'Arnaud,SHO,CM,FALSE,FALSE
J. Votto,DKG,MI,FALSE,FALSE
M Adams,DMK,MI,FALSE,FALSE
J. McNeil,DDG,MI,FALSE,FALSE
J. Lamb,SKD,MI,FALSE,FALSE
J. Bell,RGS,MI,FALSE,FALSE
B. Anderson,DEV,MI,FALSE,FALSE
J. Smoak,LDY,MI,FALSE,FALSE
A. Rizzo,SHO,MI,FALSE,FALSE
Y. Darvish,DKG,P,TRUE,FALSE
M. Scherzer,DMK,P,TRUE,FALSE
J. Flaherty,DDG,P,TRUE,FALSE
B. Woodruff,SKD,P,TRUE,FALSE
J. deGrom,RGS,P,TRUE,FALSE
M. Bumgarner,DEV,P,TRUE,FALSE
C. Kershaw,LDY,P,TRUE,FALSE
S. Strasburg,SHO,P,TRUE,FALSE
M. Kelly,DKG,P,TRUE,FALSE
W. Buehler,DMK,P,TRUE,FALSE
C. Paddack,DDG,P,TRUE,FALSE
Z. Wheeler,SKD,P,TRUE,FALSE
A. Nola,RGS,P,TRUE,FALSE
Z. Gallen,DEV,P,TRUE,FALSE
J. Urias,LDY,P,TRUE,FALSE
P. Corbin,SHO,P,TRUE,FALSE
M. Stroman,DKG,P,TRUE,FALSE
L. Castillo,DMK,P,TRUE,FALSE
S. Matz,DDG,P,TRUE,FALSE
K. Hendricks,SKD,P,TRUE,FALSE
T. Bauer,RGS,P,TRUE,FALSE
S. Gray,DEV,P,TRUE,FALSE
T. Gonsolin,LDY,P,TRUE,FALSE
M. Soroka,SHO,P,TRUE,FALSE
G. Marquez,DKG,P,TRUE,FALSE
D. Hudson,DMK,P,TRUE,FALSE
D. May,DDG,P,TRUE,FALSE
D. Lamet,SKD,P,TRUE,FALSE
J. Cueto,RGS,P,TRUE,FALSE
T. Gott,DEV,P,TRUE,FALSE
G. Richards,LDY,P,TRUE,FALSE
R. Ray,SHO,P,TRUE,FALSE
K. Freeland,DKG,P,TRUE,FALSE
C. Burnes,DMK,P,TRUE,FALSE
D. Peterson,DDG,P,TRUE,FALSE
R. Stripling,SKD,P,TRUE,FALSE
A. DeSclafani,RGS,P,TRUE,FALSE
M. Fried,DEV,P,TRUE,FALSE
Tr. Williams,LDY,P,TRUE,FALSE
S. Alcantara,SHO,P,TRUE,FALSE
Z. Davies,DKG,P,TRUE,FALSE
J. Gray,DMK,P,TRUE,FALSE
P. Lopez,DDG,P,TRUE,FALSE
J. Musgrove,SKD,P,TRUE,FALSE
J. Brubaker,RGS,P,TRUE,FALSE
A. Houser,DEV,P,TRUE,FALSE
