player_name,team_code,position,is_pitcher,is_keeper
T. Grisham,DKG,OF,FALSE,FALSE
R. Acuna Jr.,DMK,OF,FALSE,FALSE
J. Soto,DDG,OF,FALSE,FALSE
T. Edman,SKD,OF,FALSE,FALSE
C. Bellinger,RGS,OF,FALSE,FALSE
N. Castellanos,DEV,OF,FALSE,FALSE
M. Betts,LDY,OF,FALSE,FALSE
H. Bader,SHO,OF,FALSE,FALSE
M. Harris,DKG,OF,FALSE,FALSE
L. Gonzalez,DMK,OF,FALSE,FALSE
C. Blackmon,DDG,OF,FALSE,FALSE
Je. Sanchez,SKD,OF,FALSE,FALSE
J. Suwinski,RGS,OF,FALSE,FALSE
C. Yelich,DEV,OF,FALSE,FALSE
K. Schwarber,LDY,OF,FALSE,FALSE
B. Reynolds,SHO,OF,FALSE,FALSE
A. Thomas,DKG,OF,FALSE,FALSE
S. Marte,DMK,OF,FALSE,FALSE
J. Solar,DDG,OF,FALSE,FALSE
L. Thomas,SKD,OF,FALSE,FALSE
C. Morel,RGS,OF,FALSE,FALSE
O. Herrea,DEV,OF,FALSE,FALSE
Av. Garcia,LDY,OF,FALSE,FALSE
H. Renfroe,SHO,OF,FALSE,FALSE
I. Happ,DKG,OF,FALSE,FALSE
J. Pederson,DMK,OF,FALSE,FALSE
M. Ozuna,DDG,OF,FALSE,FALSE
T. Pham,SKD,OF,FALSE,FALSE
D. Ruf,RGS,OF,FALSE,FALSE
C. Mitchell,DEV,OF,FALSE,FALSE
C. Taylor,LDY,OF,FALSE,FALSE
M. Yastrzemski,SHO,OF,FALSE,FALSE
J. Profar,DKG,1B,FALSE,FALSE
T. O’Neill,DMK,1B,FALSE,FALSE
M. Nimmo,DDG,1B,FALSE,FALSE
R. Grichuk,SKD,1B,FALSE,FALSE
A. McClutchen,RGS,1B,FALSE,FALSE
M. Canha,DEV,1B,FALSE,FALSE
J. Peterson,LDY,1B,FALSE,FALSE
A. Duvall,SHO,1B,FALSE,FALSE
M. Olson,DKG,2B,FALSE,FALSE
CJ Cron,DMK,2B,FALSE,FALSE
P. Goldschmidt,DDG,2B,FALSE,FALSE
J. Aguilar,SKD,2B,FALSE,FALSE
F. Freeman,RGS,2B,FALSE,FALSE
C. Joe,DEV,2B,FALSE,FALSE
C. Walker,LDY,2B,FALSE,FALSE
P. Alonso,SHO,2B,FALSE,FALSE
N. Gorman,DKG,3B,FALSE,FALSE
B. Drury,DMK,3B,FALSE,FALSE
O. Albies,DDG,3B,FALSE,FALSE
J. India,SKD,3B,FALSE,FALSE
T. Estrada,RGS,3B,FALSE,FALSE
K. Marte,DEV,3B,FALSE,FALSE
M. Muncy,LDY,3B,FALSE,FALSE
J. Chisholm,SHO,3B,FALSE,FALSE
N. Arenado,DKG,SS,FALSE,FALSE
B. Donovan,DMK,SS,FALSE,FALSE
A. Bohm,DDG,SS,FALSE,FALSE
R. McMahon,SKD,SS,FALSE,FALSE
A. Riley,RGS,SS,FALSE,FALSE
J. Berti,DEV,SS,FALSE,FALSE
W. Flores,LDY,SS,FALSE,FALSE
M. Machado,SHO,SS,FALSE,FALSE
L. Urias,DKG,C,FALSE,FALSE
J. Cronenworth,DMK,C,FALSE,FALSE
F. Lindor,DDG,C,FALSE,FALSE
T. Turner,SKD,C,FALSE,FALSE
